observation	capability_behavior	entry_family	sink_family	owning_wp	first_validation_check	disposition	assertion
R1-046	C40.1	F19	S15	WP01	T61.L	evidence-only	Desktop path filters and pre-smoke artifacts do not prove all PR CI or runtime verification.
R1-047	C39.1	F19	S14	WP12	T59.L	retain-trust	No-Publish mode still accesses signing material and writes artifacts.
R1-048	C39.1	F19	S14	WP12	T59.L	retain-trust	Release-view authorization/network failure must not be classified as confirmed nonexistence.
R1-049	C39.1	F19	S14	WP12	T59.L	retain-trust	Manifest rewrite and signature write are two effects with version rejection checks.
R1-050	C39.1	F19	S14	WP12	T59.L	retain-trust	NewKey protection of private key does not imply protection of existing public-key output.
R1-051	C39.2	F19	S14	WP12	T46.L	retain-trust	Installer smoke is a real install/uninstall/process test and requires separate authorization.
R1-052	C41.1	F15	S04	WP10a	T56.L	seal-preserve	Local mode with an existing daemon must not bypass the remote-sealing startup policy.
R1-053	C14.2	F02	S05	WP03	T52.L	retain-public	Application exit after ignored daemon-stop failure cannot assert descendants stopped.
R1-054	C14.1	F06	S05	WP08	T33.L	retain-public	Restart closes state first and does not itself create the replacement PTY.
R1-055	C34.1	F14	S07	WP10b	T43.L	replace-binding	Remote adapter errors must not silently fall through to a second local execution.
