observation	capability_behavior	entry_family	sink_family	owning_wp	first_validation_check	disposition	assertion
R3-030	C11.2	F08	S08	WP04	T18.L	retain-public	Unsupported events remain diagnosable but never authorize unknown actions.
R3-031	C19.1	F08	S08	WP06	T65.L	replace-binding	Native background-thread hiding is not a public seat lifecycle or task completion.
R3-032	C06.2	F07	S06	WP05	T09.L	retain-public	Archive cascades preserve per-descendant partial failures and do not delete original history.
R3-033	C20.1	F09	S06	WP09a	T58.L	adapter-only	Account/connected events cause native refresh and invalidate the correct capability identity only.
R3-034	C03.2	F08	S08	WP05	T66.L	replace-binding	Agent deltas and completed messages retain distinct activity/unread rules.
R3-035	C03.2	F08	S13	WP05	T66.L	replace-binding	Active thread ID alone cannot clear unread across windows, projects or read versions.
R3-036	C03.2	F08	S08	WP05	T66.L	replace-binding	Stale turn errors do not alter current unread or active execution state.
R3-037	C03.1	F08	S13	WP05	T08.L	retain-public	Thread start/activity naming does not implicitly mark unread or create public subagent authority.
R3-038	C19.1	F08	S08	WP06	T65.L	replace-binding	Plan delta, native complete status and Plan-ready notification remain separate facts.
R3-039	C35.2	F12	S10	WP09b	T23.L	retain-public	Completion notification duration/focus/dedup gates must not leak private reply excerpts.
R3-040	C35.1	F12	S08	WP05	T66.L	retain-public	Reordered item-complete/turn-complete events do not double-notify or lose unread state.
R3-041	C35.2	F12	S12	WP05	T12.L	retain-public	Sound notification success is independent of system-notification success.
R3-042	C15.1	F12	S10	WP04	T19.L	replace-binding	Approval notification dedup keys include the correct request generation and scope.
R3-043	C15.2	F12	S10	WP09b	T23.L	retain-public	Question notification text and metadata are redacted independently of spacing retries.
R3-044	C19.1	F12	S08	WP06	T65.L	retain-public	Queued plan notices are ephemeral and must not assert durable execution history.
R3-045	C35.2	F12	S12	WP05	T12.L	retain-public	Sound and system subagent filters are separately preserved or explicitly reconciled.
R3-046	C35.2	F12	S11	WP05	T54.L	retain-public	Permission denial and fallback failure must not be represented as visible notification delivery.
R3-047	C35.1	F12	S08	WP05	T66.L	replace-binding	A deep link recorded before notify attempt is not evidence the user saw a notification.
R3-048	C35.2	F12	S12	WP05	T12.L	retain-public	AudioContext resume/fetch/decode/start and autoplay/device failures are separately reported.
R3-049	C07.2	F12	S10	WP09b	T23.L	retain-public	Copy-thread exports the selected transcript only; clipboard acceptance is not Delivery.
R3-050	C10.1	F22	S02	WP08	T35.L	retain-public	OS drop paths flow through native and browser consumers with target and generation validation.
