observation	capability_behavior	entry_family	sink_family	owning_wp	first_validation_check	disposition	assertion
R5-023	C33.2	F15	S01	WP02	T55.L	replace-binding	Missing HOME/XDG must not construct a cwd-relative standalone daemon root.
R5-024	C33.2	F15	S01	WP02	T55.L	replace-binding	Managed --data-dir must identify the same canonical product root and actual lock owner.
R5-025	C14.2	F15	S05	WP03	T52.L	replace-binding	List-triggered stale pruning must not kill a shared Arc still referenced by a surviving workspace.
R5-026	C37.1	F15	S01	WP02	T39.L	replace-binding	Subsequent storage read failure retains stale memory but must report staleness, unlike successful empty load.
R5-027	C33.2	F15	S05	WP03	T63.L	replace-binding	Pruned map membership is not proof that the removed native writer has stopped.
R5-028	C32.2	F11	S02	WP08	T22.L	retain-public	Daemon file canonicalization, UTF-8 and 400k limits apply independently of public Files policy.
R5-029	C41.1	F02	S04	WP10a	T56.L	seal-preserve	Startup remote and local-existing-daemon branches are both sealed while retaining local-host capability.
R5-030	C41.1	F09	S04	WP10a	T56.L	seal-preserve	Settings save cannot silently start/restart a sealed remote daemon.
R5-031	C14.2	F02	S05	WP03	T52.L	retain-public	Exit stop/keep setting must not equate app exit with daemon or child-tree termination.
R5-032	C41.2	F15	S10	WP09b	T23.L	seal-preserve	Command preview uses placeholders and does not expose token or claim a process was started.
R5-033	C41.1	F15	S07	WP10a	T56.L	seal-preserve	Preflight token/binary/root/listener probes are separate from actual bind/readiness.
R5-034	C14.2	F15	S05	WP03	T52.L	replace-binding	Version mismatch restart requires ownership/auth before attempting shutdown or signals.
R5-035	C14.2	F15	S05	WP03	T52.L	replace-binding	PID from daemon info or listener tooling is insufficient without creation-time identity.
R5-036	C20.1	F15	S10	WP09b	T23.L	replace-binding	Token in daemon argv is a local process-inspection exposure and requires a protected launch channel.
R5-037	C33.1	F15	S04	WP03	T32.L	replace-binding	Spawn-success Running status must be reconciled with actual bind/auth/ping readiness.
R5-038	C14.2	F15	S05	WP03	T52.L	replace-binding	Managed child kill/wait and subsequent probe retain distinct failures.
R5-039	C14.2	F15	S05	WP03	T52.L	replace-binding	External daemon force-stop remains ownership-guarded and verifies the final listener state.
R5-040	C41.2	F15	S04	WP03	T50.L	seal-preserve	Tailscale probe uses the correctly spelled binary and macOS launchctl/direct fallback identities.
R5-041	C41.2	F15	S10	WP09b	T23.L	seal-preserve	Tailnet/DNS/host/IP diagnostics remain private external identity, not public migration content.
R5-042	C33.2	F15	S01	WP02	T55.L	replace-binding	Daemonctl platform home fallbacks cannot create a relative product root.
R5-043	C20.1	F15	S10	WP09b	T23.L	replace-binding	Argument, environment and settings token precedence must preserve secrecy and selected identity.
R5-044	C41.1	F15	S07	WP10a	T56.L	seal-preserve	Status probes network; start/stop mutate processes and cannot evade sealing via the CLI entry.
R5-045	C41.1	F16	S07	WP10a	T56.L	seal-preserve	Configured mobile wizard auto-test is blocked independently of its visible Connect button.
R5-046	C41.1	F16	S01	WP10a	T56.L	seal-preserve	Failed mobile connection leaves first saved remote config; restore must not reactivate it.
R5-047	C20.1	F16	S10	WP09b	T23.L	seal-preserve	React/settings/profile token copies are individually excluded from ordinary export and migration.
